Nombre de Proyecto/Programa,Agencia financiera,Contador de proyectos,1999,1999_2,2000,2000_2,2001,2001_2,2002,2002_2,2003,2003_2,2004,2004_2,2005,2005_2,2006,2006_2,2007,2007_2,2008,2008_2,2009,2009_2,2010,2010_2,2011,2011_2,2012,2012_2,2013,2013_2,2014,2014_2,Total,Total_2
,,,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales
  Responsabilidad Mutua,Programa Conjunto de Las Naciones unidas Sobre el VIH/SIDA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6000.0,6000.0,,,,,6000.0,6000.0
  Apoyo para Bases de Datos,Programa Conjunto de Las Naciones unidas Sobre el VIH/SIDA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,15000.0,15000.0,,,,,15000.0,15000.0
  Gestion de agua de La Ceiba fase IV,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,336009.0,336009.0,,,,,,,,,,,,,336009.0,336009.0
  Fortalecimiento de denominaciones de origen de café en honduras 2007-08,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,432700.0,432700.0,,,,,,,,,,,,,,,432700.0,432700.0
  Gestión de agua potable en el municipio de Jutiapa (2008),Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,368689.0,368689.0,,,,,,,,,,,,,368689.0,368689.0
  Fortalecimiento del régimen municipal y desarrollo local en Honduras,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,955279.0,955279.0,,,,,,,,,,,,,,,955279.0,955279.0
  Fortalecimiento del régimen municipal y desarrollo local,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,737098.0,737098.0,,,,,,,,,,,,,,,,,737098.0,737098.0
  Alcanzando las Metas del Milenio,Gobierno de Holanda (Países Bajos),0,,,,,,,,,,,,,150000.0,150000.0,,,,,,,,,,,,,,,,,,,150000.0,150000.0
  Reactivación de los sistemas de sustento de los pequeños agricultores afectados por la sequía en la región sur de Honduras.,Oficina para la Coordinación de Asuntos Humanitarios,0,,,,,,,,,,,,,,,,,,,,,,,281597.0,281597.0,,,,,,,,,281597.0,281597.0
  Ampliación con Preinstalación de Valorización Energética del Relleno Sanitario de Tegucigalpa,Ministerio de Industria y Comercio de España,0,,,,,,,,,,,,,,,,,,,2377266.52,2377266.52,,,,,,,,,,,,,2377266.52,2377266.52
